TRANSACTION_DATE,STOCK,TYPE,total_volume,total_value,avg_price,transactions
1962-03-08,ibm,sell,727,4417.291782586593,6.076054721577157,1
1962-05-22,ibm,buy,6360,30907.20390520289,4.859623255535046,1
1962-06-21,ibm,buy,5024,17611.703143914885,3.505514160811084,1
1962-11-09,ibm,sell,5573,22273.723091293414,3.996720454206606,1
1963-01-23,ibm,buy,8064,36982.35507571401,4.586105540143106,1
1963-02-11,ibm,buy,5303,24603.50367072526,4.63954434673303,1
1963-02-21,ibm,sell,7700,35066.85799691279,4.554137402196466,1
1963-03-28,ibm,buy,6116,28668.755207681745,4.6875008514849155,1
1963-05-21,ibm,buy,9002,46094.66947632921,5.120492054691092,1
1963-05-23,ibm,buy,6012,31039.692533992813,5.162956176645511,1
1963-05-24,ibm,sell,8932,46143.07243835707,5.166040353600209,1
1963-07-25,ibm,sell,547,2601.7551139560037,4.756407886574047,1
1963-08-07,ibm,sell,2661,12963.65171835006,4.8717218032131,1
1963-08-16,ibm,buy,510,2573.681364053912,5.046434047164533,1
1963-08-26,ibm,sell,4262,21336.488674810436,5.006215080903434,1
1963-11-07,ibm,sell,1517,8082.373198997848,5.327866314434969,1
1963-12-02,ibm,sell,8585,46560.58830906262,5.42348145708359,1
1963-12-16,ibm,buy,1296,6879.17961627326,5.308008963173812,1
1964-01-23,ibm,sell,7399,45213.12686327974,6.110707779872921,1
1964-03-17,ibm,sell,5727,36968.221185972136,6.455076163082265,1
1964-04-07,ibm,buy,8053,53315.13168863543,6.620530446868923,1
1964-04-27,ibm,buy,8258,53480.95645156295,6.476260166088999,1
1964-05-21,ibm,buy,6057,41067.5339611305,6.780177309085438,1
1964-05-25,ibm,buy,8655,58356.77294570328,6.742550311461962,1
1964-07-23,ibm,buy,5665,36833.21611999882,6.501891636363428,1
1964-08-03,ibm,sell,3711,23685.061834240878,6.382393380285873,1
1964-08-04,ibm,buy,7753,48645.553398335804,6.274416793284638,1
1964-08-27,ibm,buy,7576,45137.97094409532,5.958021507932329,1
1964-08-31,ibm,sell,5314,32134.449481630716,6.047130124507097,1
1964-10-01,ibm,buy,2858,17217.14480265473,6.024193422902284,1
1964-10-12,ibm,buy,9255,55109.009646781844,5.9545121174264555,1
1964-12-17,ibm,sell,3222,18349.036807511442,5.694921417601317,1
1965-01-20,ibm,sell,8836,54439.71873979774,6.16112706425959,1
1965-02-04,ibm,sell,4238,26101.28862980689,6.158869426570763,1
1965-02-11,ibm,sell,7517,46073.29526668774,6.129213152412896,1
1965-02-12,ibm,buy,9959,60633.20602437593,6.0882825609374365,1
1965-02-23,ibm,buy,9019,56087.64291141819,6.21883167883559,1
1965-02-24,ibm,buy,174,1084.798269653555,6.234472814100891,1
1965-03-08,ibm,sell,16371,103013.14708964952,6.292198557324142,2
1965-04-22,ibm,sell,3716,24730.68792287887,6.655190506695067,1
1965-05-06,ibm,buy,4144,28019.914930634226,6.761562483261155,1
1965-05-26,ibm,sell,2262,14700.022987638376,6.498683902581068,1
1965-06-02,ibm,sell,6224,40798.077548468886,6.554961045705155,1
1965-06-21,ibm,sell,9981,63660.95198015103,6.378213804243165,1
1965-06-24,ibm,sell,2823,17933.627059007336,6.3526840449902,1
1965-07-20,ibm,buy,1316,8597.614291554335,6.533141558931866,1
1965-08-20,ibm,buy,5369,36689.31452761145,6.8335471275119115,1
1965-10-01,ibm,buy,3520,24558.24152116418,6.976773159421642,1
1965-10-04,ibm,sell,5161,36378.00469925462,7.0486348961934935,1
1965-10-15,ibm,buy,4497,32174.31322853235,7.154617128870881,1
1965-10-25,ibm,buy,5298,38666.82588039261,7.298381630878182,1
1965-11-19,ibm,buy,6473,48849.92846745527,7.546721530581689,1
1965-12-03,ibm,sell,8160,56506.003254025,6.924755300738358,1
1965-12-15,ibm,buy,849,5855.381388692755,6.896797866540347,1
