ACCOUNT_ID,CREDIT_LIMIT,NUM_TRANSACTIONS,TOTAL_VOLUME,TOTAL_VALUE,AVG_PRICE
371138,9000,14,72790,2086770.6244231528,26.136030671748465
371138,9000,14,72790,2086770.6244231528,26.136030671748465
557378,10000,56,255230,16433681.726536514,61.4287592618115
557378,10000,56,255230,16433681.726536514,61.4287592618115
557378,10000,56,255230,16433681.726536514,61.4287592618115
557378,10000,56,255230,16433681.726536514,61.4287592618115
198100,10000,66,340737,52576586.28870422,171.68097402859703
198100,10000,66,340737,52576586.28870422,171.68097402859703
198100,10000,66,340737,52576586.28870422,171.68097402859703
674364,10000,57,286174,53992037.17372779,249.8207510194038
278603,10000,83,422756,97703870.37004612,211.6668099609615
278603,10000,83,422756,97703870.37004612,211.6668099609615
383777,10000,25,112721,21342983.97084739,202.6270796451362
383777,10000,25,112721,21342983.97084739,202.6270796451362
383777,10000,25,112721,21342983.97084739,202.6270796451362
383777,10000,25,112721,21342983.97084739,202.6270796451362
383777,10000,25,112721,21342983.97084739,202.6270796451362
794875,9000,6,21869,706976.8723380829,27.98622692623269
794875,9000,6,21869,706976.8723380829,27.98622692623269
328304,10000,62,272854,16488619.256853081,56.734473215860135
328304,10000,62,272854,16488619.256853081,56.734473215860135
328304,10000,62,272854,16488619.256853081,56.734473215860135
487188,10000,73,335405,18924429.777614035,65.34433969456101
487188,10000,73,335405,18924429.777614035,65.34433969456101
487188,10000,73,335405,18924429.777614035,65.34433969456101
910579,10000,49,222626,4341864.976796691,21.11386055893748
910579,10000,49,222626,4341864.976796691,21.11386055893748
260499,10000,94,460724,16534047.029497188,35.29289135072962
260499,10000,94,460724,16534047.029497188,35.29289135072962
260499,10000,94,460724,16534047.029497188,35.29289135072962
668949,10000,22,90304,3415491.9924876182,35.399049605653815
668949,10000,22,90304,3415491.9924876182,35.399049605653815
668949,10000,22,90304,3415491.9924876182,35.399049605653815
668949,10000,22,90304,3415491.9924876182,35.399049605653815
976027,10000,54,273768,6929171.103512314,24.29833754855204
976027,10000,54,273768,6929171.103512314,24.29833754855204
135185,10000,47,221059,5694003.543834046,21.384619356994474
135185,10000,47,221059,5694003.543834046,21.384619356994474
135185,10000,47,221059,5694003.543834046,21.384619356994474
135185,10000,47,221059,5694003.543834046,21.384619356994474
370583,10000,83,436734,85217578.44606705,176.5239594648003
370583,10000,83,436734,85217578.44606705,176.5239594648003
370583,10000,83,436734,85217578.44606705,176.5239594648003
870466,10000,92,480514,28448532.060120955,59.89030746811642
870466,10000,92,480514,28448532.060120955,59.89030746811642
870466,10000,92,480514,28448532.060120955,59.89030746811642
870466,10000,92,480514,28448532.060120955,59.89030746811642
692278,10000,18,88838,5201604.413993008,64.58769036676966
692278,10000,18,88838,5201604.413993008,64.58769036676966
864905,10000,45,239744,17122785.88042878,62.70737591300653
864905,10000,45,239744,17122785.88042878,62.70737591300653
299072,10000,46,238049,11411372.281776534,64.85736837031213
299072,10000,46,238049,11411372.281776534,64.85736837031213
137994,10000,65,331930,18271824.347763628,59.119680383413815
137994,10000,65,331930,18271824.347763628,59.119680383413815
572981,10000,83,375425,19881295.248386,54.0705876291276
572981,10000,83,375425,19881295.248386,54.0705876291276
